TRANSACTION_x,TIMESTAMP_x,AMOUNT_x,SENDER_x,RECEIVER_x,TRANSACTION_y,TIMESTAMP_y,AMOUNT_y,SENDER_y,RECEIVER_y
f7fa68c9abea4c7dcc812245da827483a772ee42fa459279965409da1416b2e620100227,2010-02-27 10:55:12,160.0,ID00000000000000,ID00000000000000,9f8975d08bde6c27e72d808985fb02fd11c85b2b67975a751734e9f0c4e79ad520100227,2010-02-27 10:55:12,700.0,ID00000000000000,ID00000000000000
f7fa68c9abea4c7dcc812245da827483a772ee42fa459279965409da1416b2e620100227,2010-02-27 10:55:12,160.0,ID00000000000000,ID00000000000000,426958be821dba2d0305a70f458b1bb8d2db39be396ac69f7450da709d41e83820100227,2010-02-27 10:55:12,1039.51,ID00000000000000,ID00000000000000
f7fa68c9abea4c7dcc812245da827483a772ee42fa459279965409da1416b2e620100227,2010-02-27 10:55:12,160.0,ID00000000000000,ID00000000000000,ef25fa801c832577bf18c508634c945ef5b9a300d8c2f5a9f5705a95e143236f20100227,2010-02-27 10:55:12,180.0,ID00000000000000,ID00000000000000
f7fa68c9abea4c7dcc812245da827483a772ee42fa459279965409da1416b2e620100227,2010-02-27 10:55:12,160.0,ID00000000000000,ID00000000000000,99f9364da40620d75a92d5b8e6acb768f5c913f5c6dbd4dfe2c841cdd7877a5c20100227,2010-02-27 10:55:12,19708.67,ID00000000000000,ID00000000000000
f7fa68c9abea4c7dcc812245da827483a772ee42fa459279965409da1416b2e620100227,2010-02-27 10:55:12,160.0,ID00000000000000,ID00000000000000,f12c3608a7e1c881676a3d9524151bd06c97b2aca823b76e95affbc4894c45cf20100227,2010-02-27 10:55:12,18200.0,ID00000000000000,ID00000000000000
bf1da0ced50895c8ae2d7b77c8a8734520b2f2fb5bde95ebeecdb81eada03bee20100227,2010-02-27 10:55:12,507.06,ID00000000000000,ID00000000000000,f7fa68c9abea4c7dcc812245da827483a772ee42fa459279965409da1416b2e620100227,2010-02-27 10:55:12,160.0,ID00000000000000,ID00000000000000
bf1da0ced50895c8ae2d7b77c8a8734520b2f2fb5bde95ebeecdb81eada03bee20100227,2010-02-27 10:55:12,507.06,ID00000000000000,ID00000000000000,bf1da0ced50895c8ae2d7b77c8a8734520b2f2fb5bde95ebeecdb81eada03bee20100227,2010-02-27 10:55:12,507.06,ID00000000000000,ID00000000000000
bf1da0ced50895c8ae2d7b77c8a8734520b2f2fb5bde95ebeecdb81eada03bee20100227,2010-02-27 10:55:12,507.06,ID00000000000000,ID00000000000000,23592fbbace00c23e2ca5fa83c2aaac26f53a200388817bf3aafd1c3195d10d720100227,2010-02-27 10:55:12,49.97,ID00000000000000,ID00000000000000
bf1da0ced50895c8ae2d7b77c8a8734520b2f2fb5bde95ebeecdb81eada03bee20100227,2010-02-27 10:55:12,507.06,ID00000000000000,ID00000000000000,482e4059510814f4f941cd7eac37230a849b0177717899f5ced487a3c56345be20100227,2010-02-27 10:55:12,360.0,ID00000000000000,ID00000000000000
bf1da0ced50895c8ae2d7b77c8a8734520b2f2fb5bde95ebeecdb81eada03bee20100227,2010-02-27 10:55:12,507.06,ID00000000000000,ID00000000000000,dbd25262bff865e532706fdd46ce56c51328fd7e23e2514af71822849372cb8620100227,2010-02-27 10:55:12,14.82,ID00000000000000,ID00000000000000
